Freq.	V(n001)-V(n002)	I(D1)
1.11173172728159e+01	(-5.92726430852392e+01dB,-7.53149232202607e-05°)	(-8.00949629205516e+01dB,8.27936500663778e-07°)
1.11429453359173e+01	(-5.92726430852392e+01dB,-7.54885420491032e-05°)	(-8.00949629205516e+01dB,8.29845091409561e-07°)
1.11686324778056e+01	(-5.92726430852393e+01dB,-7.56625611106785e-05°)	(-8.00949629205516e+01dB,8.31758081915390e-07°)
1.11943788346715e+01	(-5.92726430852394e+01dB,-7.58369813276237e-05°)	(-8.00949629205516e+01dB,8.33675482315574e-07°)
1.12201845430196e+01	(-5.92726430852395e+01dB,-7.60118036246922e-05°)	(-8.00949629205516e+01dB,8.35597302782711e-07°)
1.12460497396692e+01	(-5.92726430852394e+01dB,-7.61870289287765e-05°)	(-8.00949629205516e+01dB,8.37523553501649e-07°)
1.12719745617551e+01	(-5.92726430852395e+01dB,-7.63626581689063e-05°)	(-8.00949629205516e+01dB,8.39454244687870e-07°)
1.12979591467279e+01	(-5.92726430852395e+01dB,-7.65386922762463e-05°)	(-8.00949629205516e+01dB,8.41389386578295e-07°)
1.13240036323555e+01	(-5.92726430852396e+01dB,-7.67151321841130e-05°)	(-8.00949629205516e+01dB,8.43328989431289e-07°)
1.13501081567231e+01	(-5.92726430852396e+01dB,-7.68919788279754e-05°)	(-8.00949629205516e+01dB,8.45273063529722e-07°)
1.13762728582343e+01	(-5.92726430852397e+01dB,-7.70692331454548e-05°)	(-8.00949629205516e+01dB,8.47221619180967e-07°)
1.14024978756117e+01	(-5.92726430852397e+01dB,-7.72468960763347e-05°)	(-8.00949629205516e+01dB,8.49174666718435e-07°)
1.14287833478977e+01	(-5.92726430852397e+01dB,-7.74249685625705e-05°)	(-8.00949629205516e+01dB,8.51132216493914e-07°)
1.14551294144553e+01	(-5.92726430852400e+01dB,-7.76034515482822e-05°)	(-8.00949629205538e+01dB,8.53094278888506e-07°)
1.14815362149688e+01	(-5.92726430852399e+01dB,-7.77823459797666e-05°)	(-8.00949629205516e+01dB,8.55060864303907e-07°)
1.15080038894443e+01	(-5.92726430852400e+01dB,-7.79616528055076e-05°)	(-8.00949629205516e+01dB,8.57031983167585e-07°)
1.15345325782109e+01	(-5.92726430852399e+01dB,-7.81413729761707e-05°)	(-8.00949629205516e+01dB,8.59007645929139e-07°)
1.15611224219210e+01	(-5.92726430852400e+01dB,-7.83215074446141e-05°)	(-8.00949629205516e+01dB,8.60987863062882e-07°)
1.15877735615512e+01	(-5.92726430852400e+01dB,-7.85020571658919e-05°)	(-8.00949629205516e+01dB,8.62972645072228e-07°)
1.16144861384034e+01	(-5.92726430852400e+01dB,-7.86830230972640e-05°)	(-8.00949629205516e+01dB,8.64962002474373e-07°)
1.16412602941049e+01	(-5.92726430852402e+01dB,-7.88644061981939e-05°)	(-8.00949629205516e+01dB,8.66955945815614e-07°)
1.16680961706096e+01	(-5.92726430852401e+01dB,-7.90462074303508e-05°)	(-8.00949629205516e+01dB,8.68954485675944e-07°)
1.16949939101987e+01	(-5.92726430852401e+01dB,-7.92284277576337e-05°)	(-8.00949629205516e+01dB,8.70957632643010e-07°)
1.17219536554813e+01	(-5.92726430852401e+01dB,-7.94110681461500e-05°)	(-8.00949629205516e+01dB,8.72965397344281e-07°)
1.17489755493953e+01	(-5.92726430852403e+01dB,-7.95941295642497e-05°)	(-8.00949629205516e+01dB,8.74977790416418e-07°)
1.17760597352080e+01	(-5.92726430852402e+01dB,-7.97776129824960e-05°)	(-8.00949629205516e+01dB,8.76994822537429e-07°)
1.18032063565173e+01	(-5.92726430852404e+01dB,-7.99615193737081e-05°)	(-8.00949629205516e+01dB,8.79016504396047e-07°)
1.18304155572516e+01	(-5.92726430852404e+01dB,-8.01458497129359e-05°)	(-8.00949629205516e+01dB,8.81042846711635e-07°)
1.18576874816716e+01	(-5.92726430852405e+01dB,-8.03306049774799e-05°)	(-8.00949629205516e+01dB,8.83073860229591e-07°)
1.18850222743701e+01	(-5.92726430852403e+01dB,-8.05157861468914e-05°)	(-8.00949629205516e+01dB,8.85109555721351e-07°)
1.19124200802737e+01	(-5.92726430852405e+01dB,-8.07013942029898e-05°)	(-8.00949629205516e+01dB,8.87149943972135e-07°)
1.19398810446427e+01	(-5.92726430852406e+01dB,-8.08874301298462e-05°)	(-8.00949629205516e+01dB,8.89195035802388e-07°)
1.19674053130724e+01	(-5.92726430852406e+01dB,-8.10738949138048e-05°)	(-8.00949629205516e+01dB,8.91244842057061e-07°)
1.19949930314937e+01	(-5.92726430852406e+01dB,-8.12607895434842e-05°)	(-8.00949629205516e+01dB,8.93299373602546e-07°)
1.20226443461741e+01	(-5.92726430852407e+01dB,-8.14481150097781e-05°)	(-8.00949629205516e+01dB,8.95358641335865e-07°)
1.20503594037179e+01	(-5.92726430852407e+01dB,-8.16358723058728e-05°)	(-8.00949629205516e+01dB,8.97422656167827e-07°)
1.20781383510677e+01	(-5.92726430852408e+01dB,-8.18240624272354e-05°)	(-8.00949629205516e+01dB,8.99491429045995e-07°)
1.21059813355048e+01	(-5.92726430852409e+01dB,-8.20126863716313e-05°)	(-8.00949629205516e+01dB,9.01564970939377e-07°)
1.21338885046497e+01	(-5.92726430852408e+01dB,-8.22017451391220e-05°)	(-8.00949629205516e+01dB,9.03643292843014e-07°)
1.21618600064636e+01	(-5.92726430852408e+01dB,-8.23912397320855e-05°)	(-8.00949629205516e+01dB,9.05726405770329e-07°)
1.21898959892486e+01	(-5.92726430852410e+01dB,-8.25811711552041e-05°)	(-8.00949629205516e+01dB,9.07814320766906e-07°)
1.22179966016487e+01	(-5.92726430852409e+01dB,-8.27715404154674e-05°)	(-8.00949629205516e+01dB,9.09907048907428e-07°)
1.22461619926504e+01	(-5.92726430852411e+01dB,-8.29623485222003e-05°)	(-8.00949629205516e+01dB,9.12004601283426e-07°)
1.22743923115840e+01	(-5.92726430852412e+01dB,-8.31535964870446e-05°)	(-8.00949629205516e+01dB,9.14106989017063e-07°)
1.23026877081238e+01	(-5.92726430852411e+01dB,-8.33452853239807e-05°)	(-8.00949629205516e+01dB,9.16214223255005e-07°)
1.23310483322890e+01	(-5.92726430852411e+01dB,-8.35374160493216e-05°)	(-8.00949629205516e+01dB,9.18326315171487e-07°)
1.23594743344450e+01	(-5.92726430852414e+01dB,-8.37299896817310e-05°)	(-8.00949629205516e+01dB,9.20443275959123e-07°)
1.23879658653036e+01	(-5.92726430852413e+01dB,-8.39230072422053e-05°)	(-8.00949629205516e+01dB,9.22565116848815e-07°)
1.24165230759240e+01	(-5.92726430852413e+01dB,-8.41164697541108e-05°)	(-8.00949629205516e+01dB,9.24691849085250e-07°)
1.24451461177138e+01	(-5.92726430852415e+01dB,-8.43103782431686e-05°)	(-8.00949629205516e+01dB,9.26823483943746e-07°)
1.24738351424294e+01	(-5.92726430852414e+01dB,-8.45047337374558e-05°)	(-8.00949629205516e+01dB,9.28960032731783e-07°)
1.25025903021771e+01	(-5.92726430852415e+01dB,-8.46995372674284e-05°)	(-8.00949629205516e+01dB,9.31101506772156e-07°)
1.25314117494141e+01	(-5.92726430852416e+01dB,-8.48947898659186e-05°)	(-8.00949629205516e+01dB,9.33247917418293e-07°)
1.25602996369487e+01	(-5.92726430852416e+01dB,-8.50904925681324e-05°)	(-8.00949629205516e+01dB,9.35399276054251e-07°)
1.25892541179416e+01	(-5.92726430852417e+01dB,-8.52866464116655e-05°)	(-8.00949629205516e+01dB,9.37555594085532e-07°)
1.26182753459066e+01	(-5.92726430852417e+01dB,-8.54832524365103e-05°)	(-8.00949629205516e+01dB,9.39716882940607e-07°)
1.26473634747114e+01	(-5.92726430852417e+01dB,-8.56803116850482e-05°)	(-8.00949629205516e+01dB,9.41883154083177e-07°)
1.26765186585784e+01	(-5.92726430852418e+01dB,-8.58778252020709e-05°)	(-8.00949629205516e+01dB,9.44054418993787e-07°)
